id,alpha,theta,sigma,eta,n_origins,pearson_correlation,covariance_population,epsilon_weighted,epsilon_origin_mean,epsilon_composition_gap,omega_max,epsilon_origin_sd,amenity,productivity,employment,wage,markdown
163577867,0.8,1.42,0.12,0.4,128,-0.9969624374332621,-0.014667478761935419,9.90599887018308,11.783436151710818,-1.8774372815277385,0.5213757132356768,0.31592662072429767,-0.8256539279119449,2.0182709538801853,0.0002564758751728635,1.4602118276455152,1.1009489313601666
163578050,0.8,1.42,0.12,0.4,128,-0.8766859076357011,-0.00043940067517518296,11.766282937974369,11.82252622439679,-0.056243286422422045,0.2020189001720738,0.023097577252028136,0.4024446130086741,0.7627945661081998,9.674090028968483e-5,0.6805707156209133,1.0849886073003234
163579002,0.8,1.42,0.12,0.4,128,-0.9964738750194817,-0.0007352946415707601,11.738018028881694,11.832135743002747,-0.09411771412105274,0.8612226846273164,0.00975514130920847,0.20050546082991685,0.7919237529525005,3.374682568193039e-5,0.8720523703541255,1.0851932581411508
163580118,0.8,1.42,0.12,0.4,128,-0.9732201487466293,-0.002215726888130495,11.541102665438117,11.824715707118822,-0.2836130416807041,0.47985015909206175,0.04983835962635316,-0.9266810994991407,0.7564534045852366,2.4747672167845816e-5,0.8851151255577259,1.0866468334082737
163580986,0.8,1.42,0.12,0.4,128,-0.9882221013130098,-0.004154942177211864,11.272448975649333,11.804281574332457,-0.531832598683124,0.35504827701143005,0.12868412333392404,-0.25573876772719256,1.4683758183614868,0.00016310965746495283,1.1760917454765771,1.0887118675063594
163581057,0.8,1.42,0.12,0.4,128,-0.9992150861787071,-0.000335536676748742,11.789796684527039,11.832745379150879,-0.04294869462384021,0.741365774820061,0.0050831948004866475,0.5510433550264777,0.5384156118980725,1.6873412841286408e-5,0.6812909231991101,1.0848191047528752
163582121,0.8,1.42,0.12,0.4,128,-0.9869557725121717,-0.00015641334870195218,11.812741048585517,11.832761957219363,-0.02002090863384609,0.3819672940897047,0.0033237294480702624,-0.3066950628182133,0.5186519763441112,7.874259325437985e-6,0.7644614667973401,1.084654357179847
163582594,0.8,1.42,0.12,0.4,128,-0.9930878745874929,-0.0010570204746791075,11.694056650306207,11.829355271065133,-0.13529862075892574,0.3817496233694649,0.023230949518754273,-0.7340993822613217,1.369451386078759,4.4995767573946974e-5,1.4232785963916017,1.085513524511087
163584856,0.8,1.42,0.12,0.4,128,-0.9238399587740579,-0.0002225462047313338,11.801728593047493,11.830214507253105,-0.028485914205612417,0.20539583119125598,0.009426802793623373,0.10691031963690825,1.4156361203983898,7.311812231262189e-5,1.3360924401435184,1.0847333500440868
163585330,0.8,1.42,0.12,0.4,128,-0.9370247036638166,-0.005728457540239445,11.08302910907226,11.81627167422291,-0.7332425651506504,0.4816058696568105,0.1155812704074267,-0.9669231666297565,1.631466421687158,0.00010461515961503792,1.4261156231138639,1.0902280405617113
163587264,0.8,1.42,0.12,0.4,128,-0.9985863556156104,-0.0011058416735375937,11.689484359363986,11.831032093576802,-0.14154773421281597,0.6554007598335374,0.018230125594574167,-1.1429958704559116,0.39482012814305817,4.499576757733128e-6,0.6503231314101882,1.085546972754101
163587483,0.8,1.42,0.12,0.4,128,-0.9967219846719171,-0.019857708297113717,9.212698550562841,11.754485212593401,-2.5417866620305603,0.4168213995520441,0.4543211721939926,-0.6285129910357303,1.4766943322182016,0.0003954003075614581,0.9730662852888797,1.1085458288374046
16358790x,0.8,1.42,0.12,0.4,128,-0.9157042515187113,-0.0036812488166862237,11.326719830754003,11.797919679289835,-0.4711998485358322,0.4877676006401144,0.0925348288823628,0.02056370199777262,1.7898863961643228,0.00037009018829719083,1.2174004450908555,1.0882868133883588
163588160,0.8,1.42,0.12,0.4,128,-0.9999999999264385,-0.000270031152457477,11.798497108442273,11.833061095956838,-0.03456398751456469,0.9999102518351165,0.0030793878315112104,0.5870972167715529,0.12061041373670296,3.374682568289201e-6,0.21058081759761837,1.0847565576199076
163588187,0.8,1.42,0.12,0.4,128,-0.9571331774558548,-0.05429880697108024,4.512166222395793,11.462413514694063,-6.95024729229827,0.28855419524594433,1.6077024916042606,-1.3261670954999933,3.4403271775609885,0.00047020577117821896,1.9870912454815348,1.2216230410654147
163589614,0.8,1.42,0.12,0.4,128,-0.9854018820611602,-0.0032125977300308506,11.412769471375974,11.823981980819926,-0.4112125094439527,0.5197398785893999,0.06212157202328919,-0.5269940108267462,0.8210630592315695,6.749365136172884e-5,0.7853425958729017,1.0876211512471246
163591415,0.8,1.42,0.12,0.4,128,-0.9603612721062229,-0.000670340781192981,11.737180206156895,11.822983826149597,-0.0858036199927028,0.1607002376478609,0.03112440673075895,-1.1790430435563222,1.9823714880066552,5.3994921089538814e-5,1.9870912454815348,1.0851993394014208
